# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100001    2010    1920     -2.94       116     123
    2    0.0300001    2019    1980     -2.82       103      93
    3    0.0500001    2013    1945      -2.7       122     123
    4    0.0700001    2000    2045     -2.58       182     186
    5    0.0900001    2003    2026     -2.46       246     206
    6     0.11    1997    1957     -2.34       324     325
    7     0.13    1948    2003     -2.22       385     397
    8     0.15    2059    2001      -2.1       566     509
    9     0.17    1973    2055     -1.98       633     713
   10     0.19    1956    2020     -1.86       870     849
   11     0.21    1963    1899     -1.74      1019     972
   12     0.23    1958    2028     -1.62      1271    1329
   13     0.25    2006    1977      -1.5      1494    1581
   14     0.27    2001    2007     -1.38      1798    1779
   15     0.29    1933    2013     -1.26      2329    2086
   16     0.31    2032    2021     -1.14      2429    2581
   17     0.33    2065    1999     -1.02      2812    2809
   18     0.35    2066    1951      -0.9      3133    3222
   19     0.37    1973    2009     -0.78      3607    3573
   20     0.39    1986    2036     -0.66      3835    3834
   21     0.41    2055    2021     -0.54      4212    4174
   22     0.43    2052    2025     -0.42      4410    4434
   23     0.45    1956    2058      -0.3      4524    4472
   24     0.47    1954    2024     -0.18      4857    4696
   25     0.49    2030    1988     -0.06      4772    4794
   26     0.51    2027    2022      0.06      4870    4841
   27     0.53    2026    2003      0.18      4698    4586
   28     0.55    1982    2039       0.3      4562    4513
   29     0.57    2020    1992      0.42      4435    4379
   30     0.59    1985    1996      0.54      4157    4202
   31     0.61    2063    2045      0.66      3773    3880
   32     0.63    2020    2040      0.78      3560    3453
   33     0.65    2003    2014       0.9      3148    3219
   34     0.67    1907    1951      1.02      2795    2844
   35     0.69    1938    2047      1.14      2427    2471
   36     0.71    1985    1976      1.26      2159    2241
   37     0.73    2052    1969      1.38      1791    1879
   38     0.75    2072    1925       1.5      1598    1545
   39     0.77    2032    1982      1.62      1259    1296
   40     0.79    1921    1947      1.74      1041    1070
   41     0.81    2023    1981      1.86       841     821
   42     0.83    2010    2008      1.98       695     694
   43     0.85    1954    2076       2.1       523     564
   44     0.87    2068    2093      2.22       422     416
   45     0.89    2004    1954      2.34       306     315
   46     0.91    1896    1992      2.46       239     250
   47     0.93    1968    2033      2.58       165     168
   48     0.95    2109    2041       2.7       134     146
   49     0.97    1960    1903      2.82       102     104
   50     0.99    1967    1994      2.94        78      67
